Civilité;Nom;Prénom;Mandat;Circonscription;Département;Candidat;"Date de publication"
M.;GUILBAUD;André;Maire;Cuzion;Indre;"HIDALGO Anne";08/02/2022
Mme;RANCY;Sylvie;Maire;Diou;Indre;"HIDALGO Anne";08/02/2022
M.;VERRI;Pierre;Maire;Gières;Isère;"HIDALGO Anne";08/02/2022
M.;BAYLAC-DOMENGETROY;Jérôme;"Président d'un EPCI à fiscalité propre";"CC du Pays Morcenais";Landes;"HIDALGO Anne";08/02/2022
M.;BAZUS;Julien;"Conseiller régional";Nouvelle-Aquitaine;Landes;"HIDALGO Anne";08/02/2022
M.;BEDAT;Henri;"Conseiller départemental";;Landes;"HIDALGO Anne";08/02/2022
Mme;BOURRETERE;Agathe;"Conseillère départementale";;Landes;"HIDALGO Anne";08/02/2022
M.;BOUYRIE;Hervé;Maire;Messanges;Landes;"HIDALGO Anne";08/02/2022
Mme;BRETTES;Marie-Christine;Maire;Mugron;Landes;"HIDALGO Anne";08/02/2022
M.;CARRÈRE;Paul;Maire;Morcenx-la-Nouvelle;Landes;"HIDALGO Anne";08/02/2022
Mme;COUTIERE;Jeanne;Maire;Maillères;Landes;"HIDALGO Anne";08/02/2022
M.;DARRICAU;Jean-Marie;Maire;Montfort-en-Chalosse;Landes;"HIDALGO Anne";08/02/2022
M.;DELPUECH;Jean-Luc;Maire;Labenne;Landes;"HIDALGO Anne";08/02/2022
Mme;DURQUETY;Rachel;"Conseillère départementale";;Landes;"HIDALGO Anne";08/02/2022
M.;DUTIN;Frédéric;"Conseiller départemental";;Landes;"HIDALGO Anne";08/02/2022
M.;DUTOYA;Philippe;Maire;Sainte-Colombe;Landes;"HIDALGO Anne";08/02/2022
M.;FORTINON;Xavier;"Conseiller départemental";;Landes;"HIDALGO Anne";08/02/2022
M.;FROUSTEY;Pierre;Maire;Vieux-Boucau-les-Bains;Landes;"HIDALGO Anne";08/02/2022
M.;KERROUCHE;Eric;Sénateur;;Landes;"HIDALGO Anne";08/02/2022
Mme;LAILHEUGUE;Anne-Marie;Maire;Maylis;Landes;"HIDALGO Anne";08/02/2022
Mme;LUBIN;Monique;Sénatrice;;Landes;"HIDALGO Anne";08/02/2022
M.;SARGIACOMO;Éric;"Conseiller régional";Nouvelle-Aquitaine;Landes;"HIDALGO Anne";08/02/2022
M.;SARTRE;Philippe;Maire;Garein;Landes;"HIDALGO Anne";08/02/2022
Mme;SENSOU;Salima;"Conseillère départementale";;Landes;"HIDALGO Anne";08/02/2022
Mme;VALIORGUE;Magali;"Conseillère départementale";;Landes;"HIDALGO Anne";08/02/2022
Mme;WEBER;Sophie;"Conseillère régionale";Nouvelle-Aquitaine;Landes;"HIDALGO Anne";08/02/2022
M.;BENOIST;Thierry;Maire;Thoré-la-Rochette;Loir-et-Cher;"HIDALGO Anne";08/02/2022
M.;DEGRUELLE;Christophe;"Président d'un EPCI à fiscalité propre";"CA de Blois ''Agglopolys''";Loir-et-Cher;"HIDALGO Anne";08/02/2022
Mme;GONZALEZ-GRAIL;Ramona;Maire;"La Talaudière";Loire;"HIDALGO Anne";08/02/2022
M.;PEYRON;Eric;Maire;Mably;Loire;"HIDALGO Anne";08/02/2022
Mme;SEMACHE;Nadia;"Conseillère départementale";;Loire;"HIDALGO Anne";08/02/2022
M.;BOLO;Pascal;"Conseiller départemental";;Loire-Atlantique;"HIDALGO Anne";08/02/2022
M.;HERVOCHON;Freddy;"Conseiller départemental";;Loire-Atlantique;"HIDALGO Anne";08/02/2022
Mme;MAHE;Lydie;"Conseillère départementale";;Loire-Atlantique;"HIDALGO Anne";08/02/2022
Mme;MEIGNEN;Lydia;"Conseillère départementale";;Loire-Atlantique;"HIDALGO Anne";08/02/2022
Mme;ROLLAND;Johanna;Maire;Nantes;Loire-Atlantique;"HIDALGO Anne";08/02/2022
M.;SAMZUN;David;Maire;Saint-Nazaire;Loire-Atlantique;"HIDALGO Anne";08/02/2022
M.;SECHET;Jean-Luc;"Conseiller départemental";;Loire-Atlantique;"HIDALGO Anne";08/02/2022
M.;VAUGRENARD;Yannick;Sénateur;;Loire-Atlantique;"HIDALGO Anne";08/02/2022
M.;CHAPUIS;Baptiste;"Conseiller départemental";;Loiret;"HIDALGO Anne";08/02/2022
Mme;HARRIBEY;Karine;"Conseillère départementale";;Loiret;"HIDALGO Anne";08/02/2022
M.;MERCIER;Romain;"Conseiller régional";"Centre-Val De Loire";Loiret;"HIDALGO Anne";08/02/2022
M.;MELLINGER;André;Maire;Figeac;Lot;"HIDALGO Anne";08/02/2022
M.;PROENÇA;Christophe;"Conseiller départemental";;Lot;"HIDALGO Anne";08/02/2022
M.;BORIE;Daniel;Maire;Saint-Vite;Lot-et-Garonne;"HIDALGO Anne";08/02/2022
Mme;AMBROIS;Anne;"Maire déléguée d'une commune associée ou d'une commune déléguée";Cherbourg-en-Cotentin;Manche;"HIDALGO Anne";08/02/2022
M.;FAGNEN;Sébastien;"Maire délégué d'une commune associée ou d'une commune déléguée";Cherbourg-en-Cotentin;Manche;"HIDALGO Anne";08/02/2022
Mme;LEFAIX-VÉRON;Odile;"Conseillère départementale";;Manche;"HIDALGO Anne";08/02/2022
M.;LEPOITTEVIN;Gilbert;"Maire délégué d'une commune associée ou d'une commune déléguée";Cherbourg-en-Cotentin;Manche;"HIDALGO Anne";08/02/2022
M.;CEDELLE;Alain;"Conseiller régional";"Grand Est";Haute-Marne;"HIDALGO Anne";08/02/2022
Mme;"BARDOT NORMAND";Audrey;"Conseillère départementale";;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
Mme;BOURSIER;Catherine;"Conseillère départementale";;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
Mme;DONNEN;Marie-Claire;"Conseillère régionale";"Grand Est";Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
M.;HERBAYS;Francis;Maire;Fillières;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
Mme;KHIROUNI;Chaynesse;"Conseillère départementale";;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
M.;PERRIN;Anthony;"Conseiller départemental";;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
Mme;PILOT;Michèle;"Conseillère départementale";;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
M.;TILLARD;Hervé;Maire;Chavigny;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
M.;TROGRLIC;Laurent;Maire;Pompey;Meurthe-et-Moselle;"HIDALGO Anne";08/02/2022
M.;UZENAT;Simon;"Conseiller régional";Bretagne;Morbihan;"HIDALGO Anne";08/02/2022
M.;LIEBGOTT;Michel;Maire;Fameck;Moselle;"HIDALGO Anne";08/02/2022
Mme;MAZZERO;Peggy;"Conseillère régionale";"Grand Est";Moselle;"HIDALGO Anne";08/02/2022
M.;OCTAVE;Henri;Maire;Gandrange;Moselle;"HIDALGO Anne";08/02/2022
M.;CHEREAU;Frédéric;Maire;Douai;Nord;"HIDALGO Anne";08/02/2022
M.;COURTIN;Benoît;Maire;Ferrière-la-Grande;Nord;"HIDALGO Anne";08/02/2022
Mme;FILLEUL;Martine;Sénatrice;;Nord;"HIDALGO Anne";08/02/2022
M.;GHERBI;Franck;"Maire délégué d'une commune associée ou d'une commune déléguée";Lille;Nord;"HIDALGO Anne";08/02/2022
M.;HAESEBROECK;Bernard;Maire;Armentières;Nord;"HIDALGO Anne";08/02/2022
M.;KANNER;Patrick;Sénateur;;Nord;"HIDALGO Anne";08/02/2022
M.;RUSINEK;Bruno;Maire;Ostricourt;Nord;"HIDALGO Anne";08/02/2022
M.;VICOT;Roger;"Maire délégué d'une commune associée ou d'une commune déléguée";Lille;Nord;"HIDALGO Anne";08/02/2022
M.;VILLEMAIN;Jean-Claude;Maire;Creil;Oise;"HIDALGO Anne";08/02/2022
Mme;JOURDAN;Chantal;Députée;"1ère circonscription";Orne;"HIDALGO Anne";08/02/2022
M.;DEMOLLIENS;Marc;Maire;Desvres;Pas-de-Calais;"HIDALGO Anne";08/02/2022
M.;EVRARD;Pierre;Maire;Wizernes;Pas-de-Calais;"HIDALGO Anne";08/02/2022
M.;MARCELLAK;Serge;Maire;Nœux-les-Mines;Pas-de-Calais;"HIDALGO Anne";08/02/2022
M.;BALDY;Damien;"Conseiller départemental";;Puy-de-Dôme;"HIDALGO Anne";08/02/2022
M.;DÉAT;Alain;Maire;Entraigues;Puy-de-Dôme;"HIDALGO Anne";08/02/2022
M.;LYAN;Pierre;Maire;Thuret;Puy-de-Dôme;"HIDALGO Anne";08/02/2022
M.;MANUBY;Didier;Maire;"Les Ancizes-Comps";Puy-de-Dôme;"HIDALGO Anne";08/02/2022
Mme;"PIRES BEAUNE";Christine;Députée;"2ème circonscription";Puy-de-Dôme;"HIDALGO Anne";08/02/2022
M.;POURCHON;Alexandre;"Conseiller départemental";;Puy-de-Dôme;"HIDALGO Anne";08/02/2022
M.;RAGE;François;Maire;Cournon-d'Auvergne;Puy-de-Dôme;"HIDALGO Anne";08/02/2022
M.;RAYNAUD;Patrick;"Conseiller départemental";;Puy-de-Dôme;"HIDALGO Anne";08/02/2022
Mme;MAZA;Stéphanie;"Conseillère départementale";;Pyrénées-Atlantiques;"HIDALGO Anne";08/02/2022
M.;BAUBAY;Philippe;Maire;Séméac;Hautes-Pyrénées;"HIDALGO Anne";08/02/2022
M.;CAZAUX;Jean-Pierre;Maire;Arrens-Marsous;Hautes-Pyrénées;"HIDALGO Anne";08/02/2022
M.;UCHAN;Jérôme;Maire;Lombrès;Hautes-Pyrénées;"HIDALGO Anne";08/02/2022
M.;OLIVE;René;Maire;Thuir;Pyrénées-Orientales;"HIDALGO Anne";08/02/2022
M.;OLIVE;Robert;Maire;Saint-Féliu-d'Amont;Pyrénées-Orientales;"HIDALGO Anne";08/02/2022
M.;ROQUE;Jean;"Conseiller départemental";;Pyrénées-Orientales;"HIDALGO Anne";08/02/2022
M.;VILA;Jean;Maire;Maureillas-las-Illas;Pyrénées-Orientales;"HIDALGO Anne";08/02/2022
Mme;IBIEM;"Nadia Linda";"Conseillère régionale";"Grand Est";Bas-Rhin;"HIDALGO Anne";08/02/2022
M.;HOMÉ;Antoine;Maire;Wittenheim;Haut-Rhin;"HIDALGO Anne";08/02/2022
Mme;CREDOZ;Dominique;"Conseillère métropolitaine de Lyon";;Rhône;"HIDALGO Anne";08/02/2022
M.;CROMBECQUE;Yann;"Conseiller régional";Auvergne-Rhône-Alpes;Rhône;"HIDALGO Anne";08/02/2022
Mme;EDERY;Michèle;"Conseillère métropolitaine de Lyon";;Rhône;"HIDALGO Anne";08/02/2022
M.;GOMEZ;Stéphane;"Conseiller métropolitain de Lyon";;Rhône;"HIDALGO Anne";08/02/2022
Mme;VALLAUD-BELKACEM;Najat;"Conseillère régionale";Auvergne-Rhône-Alpes;Rhône;"HIDALGO Anne";08/02/2022
M.;"VAN STYVENDAEL";Cédric;Maire;Villeurbanne;Rhône;"HIDALGO Anne";08/02/2022
M.;DELAIN;Laurent;Maire;Vy-le-Ferroux;Haute-Saône;"HIDALGO Anne";08/02/2022
M.;HOULLEY;Eric;Maire;Lure;Haute-Saône;"HIDALGO Anne";08/02/2022
Mme;NARDIN;Sylvie;"Conseillère régionale";Bourgogne-Franche-Comté;Haute-Saône;"HIDALGO Anne";08/02/2022
Mme;COUILLEROT;Evelyne;"Conseillère départementale";;Saône-et-Loire;"HIDALGO Anne";08/02/2022
M.;DURAIN;Jérôme;Sénateur;;Saône-et-Loire;"HIDALGO Anne";08/02/2022
Mme;LEBLANC;Nathalie;"Conseillère régionale";Bourgogne-Franche-Comté;Saône-et-Loire;"HIDALGO Anne";08/02/2022
M.;MARTI;David;Maire;"Le Creusot";Saône-et-Loire;"HIDALGO Anne";08/02/2022
Mme;ELSHOUD;Mélina;"Conseillère départementale";;Sarthe;"HIDALGO Anne";08/02/2022
M.;CHEMIN;François;Maire;Fourneaux;Savoie;"HIDALGO Anne";08/02/2022
M.;COUMET;Jérôme;"Conseiller de Paris";;Paris;"HIDALGO Anne";08/02/2022
M.;"DES GAYETS";Maxime;"Conseiller régional";Île-De-France;Paris;"HIDALGO Anne";08/02/2022
Mme;HIDALGO;Anne;Maire;Paris;Paris;"HIDALGO Anne";08/02/2022
M.;JOMIER;Bernard;Sénateur;;Paris;"HIDALGO Anne";08/02/2022
M.;MARTINS;Jean-François;"Conseiller de Paris";;Paris;"HIDALGO Anne";08/02/2022
M.;VAUGLIN;François;"Maire d'arrondissement";;Paris;"HIDALGO Anne";08/02/2022
M.;BARON;Pascal;Maire;Freneuse;Seine-Maritime;"HIDALGO Anne";08/02/2022
Mme;BOULANGER;Mélanie;Maire;Canteleu;Seine-Maritime;"HIDALGO Anne";08/02/2022
M.;DELESQUE;Ludovic;"Conseiller régional";Normandie;Seine-Maritime;"HIDALGO Anne";08/02/2022
Mme;DIALLO;Tacko;"Conseillère départementale";;Seine-Maritime;"HIDALGO Anne";08/02/2022
Mme;DUTARTE;Caroline;"Conseillère départementale";;Seine-Maritime;"HIDALGO Anne";08/02/2022
Mme;FOUQUET;Marie;"Conseillère départementale";;Seine-Maritime;"HIDALGO Anne";08/02/2022
Mme;GOUJON;Charlotte;Maire;"Le Petit-Quevilly";Seine-Maritime;"HIDALGO Anne";08/02/2022
Mme;HEROUIN-LEAUTEY;Florence;"Conseillère départementale";;Seine-Maritime;"HIDALGO Anne";08/02/2022
M.;"LE GOFF";Frédérick;Maire;Moulineaux;Seine-Maritime;"HIDALGO Anne";08/02/2022
M.;MAUGER;Jean-Michel;Maire;Saint-Pierre-de-Varengeville;Seine-Maritime;"HIDALGO Anne";08/02/2022
M.;MERABET;Djoudé;Maire;Elbeuf;Seine-Maritime;"HIDALGO Anne";08/02/2022
M.;RAGACHE;Alexis;"Conseiller départemental";;Seine-Maritime;"HIDALGO Anne";08/02/2022
Mme;SANTO;Sylvaine;Maire;Roncherolles-sur-le-Vivier;Seine-Maritime;"HIDALGO Anne";08/02/2022
M.;THEVENOT;Jean-Pierre;Maire;Cany-Barville;Seine-Maritime;"HIDALGO Anne";08/02/2022
M.;ÉBLÉ;Vincent;Sénateur;;Seine-et-Marne;"HIDALGO Anne";08/02/2022
M.;"LE LAY-FELZINE";Guillaume;Maire;Torcy;Seine-et-Marne;"HIDALGO Anne";08/02/2022
Mme;"LE MEUR";Stéphanie;"Conseillère régionale";Île-De-France;Seine-et-Marne;"HIDALGO Anne";08/02/2022
M.;YUSTE;Andre;Maire;Lognes;Seine-et-Marne;"HIDALGO Anne";08/02/2022
Mme;DIOP;Dieynaba;"Conseillère régionale";Île-De-France;Yvelines;"HIDALGO Anne";08/02/2022
M.;DUFORESTEL;Pascal;"Conseiller régional";Nouvelle-Aquitaine;Deux-Sèvres;"HIDALGO Anne";08/02/2022
Mme;LANZI;Nathalie;"Conseillère régionale";Nouvelle-Aquitaine;Deux-Sèvres;"HIDALGO Anne";08/02/2022
Mme;"SABOURIN BENELHADJ";Muriel;"Conseillère départementale";;Deux-Sèvres;"HIDALGO Anne";08/02/2022
Mme;BENEDINI-POLLEUX;Catherine;Maire;Ailly-sur-Somme;Somme;"HIDALGO Anne";08/02/2022
Mme;DARRAS;Zohra;"Conseillère départementale";;Somme;"HIDALGO Anne";08/02/2022
M.;FAUVET;Frédéric;"Conseiller départemental";;Somme;"HIDALGO Anne";08/02/2022
M.;SUIN;Joel;Maire;Trois-Rivières;Somme;"HIDALGO Anne";08/02/2022
M.;CABRAL;Fabrice;Maire;Aussillon;Tarn;"HIDALGO Anne";08/02/2022
Mme;FITA;Claire;"Conseillère régionale";Occitanie;Tarn;"HIDALGO Anne";08/02/2022
M.;KOWALIK;Jean-François;Maire;Blaye-les-Mines;Tarn;"HIDALGO Anne";08/02/2022
Mme;LAPEYRE;Margot;"Conseillère départementale";;Tarn;"HIDALGO Anne";08/02/2022
M.;MASSIE;Rémi;"Conseiller régional";Occitanie;Tarn;"HIDALGO Anne";08/02/2022
M.;RECOULES;Vincent;Maire;Valderiès;Tarn;"HIDALGO Anne";08/02/2022
M.;VANDENDRIESSCHE;Laurent;Maire;Saint-Paul-Cap-de-Joux;Tarn;"HIDALGO Anne";08/02/2022
M.;GARRIGUES;Patrice;"Conseiller régional";Occitanie;Tarn-et-Garonne;"HIDALGO Anne";08/02/2022
Mme;LAVERON;Isabelle;"Conseillère régionale";Occitanie;Tarn-et-Garonne;"HIDALGO Anne";08/02/2022
M.;MOIGNARD;Jacques;Maire;Montech;Tarn-et-Garonne;"HIDALGO Anne";08/02/2022
Mme;RABAULT;Valérie;Députée;"1ère circonscription";Tarn-et-Garonne;"HIDALGO Anne";08/02/2022
Mme;SARDEING;Dominique;"Conseillère départementale";;Tarn-et-Garonne;"HIDALGO Anne";08/02/2022
Mme;DUBOIS;Annick;"Conseillère départementale";;Vaucluse;"HIDALGO Anne";08/02/2022
Mme;HELLE;Cécile;Maire;Avignon;Vaucluse;"HIDALGO Anne";08/02/2022
M.;STANZIONE;Lucien;Sénateur;;Vaucluse;"HIDALGO Anne";08/02/2022
M.;DAVID;Daniel;Maire;Benet;Vendée;"HIDALGO Anne";08/02/2022
Mme;"ALMOSTER RODRIGUES";"Anne Marie";Maire;Rochechouart;Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;BOISSERIE;François;Maire;Glandon;Haute-Vienne;"HIDALGO Anne";08/02/2022
Mme;BOURDEAU;Cécile;"Conseillère départementale";;Haute-Vienne;"HIDALGO Anne";08/02/2022
Mme;BROUILLE;Andréa;Maire;Bessines-sur-Gartempe;Haute-Vienne;"HIDALGO Anne";08/02/2022
Mme;BURGAUD;Nadine;Maire;Rilhac-Rancon;Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;DELAUTRETTE;Stéphane;Maire;"Les Cars";Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;DESTRUHAUT;Stéphane;"Conseiller départemental";;Haute-Vienne;"HIDALGO Anne";08/02/2022
Mme;LALOGE;Marlène;"Conseillère départementale";;Haute-Vienne;"HIDALGO Anne";08/02/2022
Mme;LARDY;Brigitte;"Conseillère départementale";;Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;LEBOUTET;Maurice;Maire;Bosmie-l'Aiguille;Haute-Vienne;"HIDALGO Anne";08/02/2022
Mme;LENFANT;Julie;Maire;Chaptelat;Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;MIGUEL;Thierry;"Conseiller départemental";;Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;MONTET;Guy;Maire;Meuzac;Haute-Vienne;"HIDALGO Anne";08/02/2022
Mme;PLAZZI;Monique;"Conseillère départementale";;Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;THOMAS;Jean-Claude;Maire;"Le Buis";Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;VEYRIRAS;Stéphane;"Conseiller départemental";;Haute-Vienne;"HIDALGO Anne";08/02/2022
M.;SORET;Nicolas;Maire;Joigny;Yonne;"HIDALGO Anne";08/02/2022
Mme;BARTHELEMY-RUIZ;Chantal;"Conseillère départementale";;Hauts-de-Seine;"HIDALGO Anne";08/02/2022
M.;BOUAMRANE;Karim;Maire;Saint-Ouen-sur-Seine;Seine-Saint-Denis;"HIDALGO Anne";08/02/2022
M.;"DI MARTINO";Tony;Maire;Bagnolet;Seine-Saint-Denis;"HIDALGO Anne";08/02/2022
M.;BESNARD;Samuel;"Conseiller départemental";;Val-de-Marne;"HIDALGO Anne";08/02/2022
M.;CHIKOUCHE;Mohamed;"Conseiller départemental";;Val-de-Marne;"HIDALGO Anne";08/02/2022
Mme;JEANVOINE;Brigitte;"Conseillère départementale";;Val-de-Marne;"HIDALGO Anne";08/02/2022
M.;APARICIO;Jean-Michel;Maire;Beaumont-sur-Oise;Val-d'Oise;"HIDALGO Anne";08/02/2022
M.;BOUGEARD;Nicolas;"Conseiller départemental";;Val-d'Oise;"HIDALGO Anne";08/02/2022
M.;HADDAD;Patrick;Maire;Sarcelles;Val-d'Oise;"HIDALGO Anne";08/02/2022
M.;JEANDON;Jean-Paul;Maire;Cergy;Val-d'Oise;"HIDALGO Anne";08/02/2022
M.;ATALLAH;André;Maire;Basse-Terre;Guadeloupe;"HIDALGO Anne";08/02/2022
M.;AHMAR;Samy;"Conseiller à l'Assemblée des Français de l'étranger";"Europe du Nord";"Français de l'étranger";"HIDALGO Anne";08/02/2022
M.;CHANTREL;Yan;Sénateur;;"Français de l'étranger";"HIDALGO Anne";08/02/2022
Mme;CERBAÏ;Florence;"Conseillère régionale";Auvergne-Rhône-Alpes;Ain;"JADOT Yannick";08/02/2022
M.;GIROD;Etienne;Maire;Bolozon;Ain;"JADOT Yannick";08/02/2022
M.;MEYER;Maxime;"Conseiller régional";Auvergne-Rhône-Alpes;Ain;"JADOT Yannick";08/02/2022
M.;DELEROT;Thierry;"Conseiller départemental";;Aisne;"JADOT Yannick";08/02/2022
M.;PIERSON;Vincent;Maire;Urcel;Aisne;"JADOT Yannick";08/02/2022
Mme;BABIAN-LHERMET;Anne;"Conseillère régionale";Auvergne-Rhône-Alpes;Allier;"JADOT Yannick";08/02/2022
Mme;BAGARRY;Delphine;Députée;"1ère circonscription";Alpes-de-Haute-Provence;"JADOT Yannick";08/02/2022
M.;NOEL;Daniel;Maire;Sainte-Marguerite-Lafigère;Ardèche;"JADOT Yannick";08/02/2022
M.;HARRAR;Radouane;Maire;"La Moncelle";Ardennes;"JADOT Yannick";08/02/2022
M.;GOUZE;Jean-Claude;Maire;Senconac;Ariège;"JADOT Yannick";08/02/2022
Mme;FORTUNÉ;Kattalin;"Conseillère départementale";;Aude;"JADOT Yannick";08/02/2022
M.;MORLON;Francis;"Conseiller départemental";;Aude;"JADOT Yannick";08/02/2022
M.;BENARROCHE;Guy;Sénateur;;Bouches-du-Rhône;"JADOT Yannick";08/02/2022
M.;JAU;Didier;"Maire d'arrondissement";;Bouches-du-Rhône;"JADOT Yannick";08/02/2022
M.;COLLET;Regis;Maire;Bougy;Calvados;"JADOT Yannick";08/02/2022
M.;L'ORPHELIN;Rudy;"Conseiller régional";Normandie;Calvados;"JADOT Yannick";08/02/2022
M.;RECHER;Bastien;"Conseiller régional";Normandie;Calvados;"JADOT Yannick";08/02/2022
M.;ALEXANDRE;Yves;Maire;Carlat;Cantal;"JADOT Yannick";08/02/2022
Mme;PRAGOUT;Marie;"Conseillère départementale";;Charente;"JADOT Yannick";08/02/2022
Mme;BOURDIN;Katia;"Conseillère régionale";Nouvelle-Aquitaine;Charente-Maritime;"JADOT Yannick";08/02/2022
M.;SOUBESTE;Jean-Marc;"Conseiller départemental";;Charente-Maritime;"JADOT Yannick";08/02/2022
M.;COSTE;Ludo;Maire;Chârost;Cher;"JADOT Yannick";08/02/2022
Mme;RIVET;Michelle;Maire;Marçais;Cher;"JADOT Yannick";08/02/2022
Mme;FRANCHI;Carine;Maire;San-Giovanni-di-Moriani;Haute-Corse;"JADOT Yannick";08/02/2022
M.;STEFANI;Pierre-Jean;Maire;Piedipartino;Haute-Corse;"JADOT Yannick";08/02/2022
M.;TOMI;Marc;Maire;Santo-Pietro-di-Tenda;Haute-Corse;"JADOT Yannick";08/02/2022
M.;FAURE-STERNAD;Pierre;Maire;Sainte-Colombe-en-Auxois;Côte-d'Or;"JADOT Yannick";08/02/2022
Mme;HERVIEU;Catherine;"Conseillère départementale";;Côte-d'Or;"JADOT Yannick";08/02/2022
Mme;LAGNEAU;Aurore;"Conseillère régionale";Bourgogne-Franche-Comté;Côte-d'Or;"JADOT Yannick";08/02/2022
M.;GASPAILLARD;Damien;"Conseiller départemental";;Côtes-d'Armor;"JADOT Yannick";08/02/2022
Mme;GUILLOU;Marie-Annick;"Conseillère départementale";;Côtes-d'Armor;"JADOT Yannick";08/02/2022
M.;IBAGNE;Didier;Maire;Trébédan;Côtes-d'Armor;"JADOT Yannick";08/02/2022
M.;MANGOLD;Jacques;Maire;Plouézec;Côtes-d'Armor;"JADOT Yannick";08/02/2022
Mme;FORGENEUF;Marilyne;"Conseillère régionale";Nouvelle-Aquitaine;Dordogne;"JADOT Yannick";08/02/2022
M.;PERPEROT;Philippe;Maire;Annesse-et-Beaulieu;Dordogne;"JADOT Yannick";08/02/2022
Mme;GALLIOU;Françoise;Maire;Audeux;Doubs;"JADOT Yannick";08/02/2022
M.;MERCIER;Claude;"Conseiller régional";Bourgogne-Franche-Comté;Doubs;"JADOT Yannick";08/02/2022
Mme;SANCHEZ;Laetitia;"Conseillère régionale";Normandie;Eure;"JADOT Yannick";08/02/2022
Mme;COCHARD;Estelle;"Conseillère régionale";"Centre-Val De Loire";Eure-et-Loir;"JADOT Yannick";08/02/2022
Mme;DUPUY;Julie;"Conseillère régionale";Bretagne;Finistère;"JADOT Yannick";08/02/2022
M.;MARIE;Sébastien;Maire;Plounéour-Ménez;Finistère;"JADOT Yannick";08/02/2022
M.;BLANC;Paul-Marie;Maire;Bérat;Haute-Garonne;"JADOT Yannick";08/02/2022
M.;NORMAND;Xavier;Maire;Castanet-Tolosan;Haute-Garonne;"JADOT Yannick";08/02/2022
M.;BAUDE;Vital;"Conseiller régional";Nouvelle-Aquitaine;Gironde;"JADOT Yannick";08/02/2022
M.;BEZIADE;Bruno;"Conseiller départemental";;Gironde;"JADOT Yannick";08/02/2022
M.;CAVAILLOLS;Dominique;Maire;Barsac;Gironde;"JADOT Yannick";08/02/2022
Mme;COUTURIER;Martine;"Conseillère départementale";;Gironde;"JADOT Yannick";08/02/2022
Mme;CURVALE;Laure;"Conseillère départementale";;Gironde;"JADOT Yannick";08/02/2022
Mme;DUMONT;Maud;"Conseillère départementale";;Gironde;"JADOT Yannick";08/02/2022
M.;GARNIER;Alain;Maire;Artigues-près-Bordeaux;Gironde;"JADOT Yannick";08/02/2022
M.;LABESSE;Patrick;Maire;Carbon-Blanc;Gironde;"JADOT Yannick";08/02/2022
Mme;SEGUINAU;Christine;"Conseillère régionale";Nouvelle-Aquitaine;Gironde;"JADOT Yannick";08/02/2022
Mme;SEJOURNET;Agnès;"Conseillère départementale";;Gironde;"JADOT Yannick";08/02/2022
M.;THIERRY;Nicolas;"Conseiller régional";Nouvelle-Aquitaine;Gironde;"JADOT Yannick";08/02/2022
Mme;"LE FRÈNE";Marion;"Conseillère départementale";;Ille-et-Vilaine;"JADOT Yannick";08/02/2022
M.;OILLIC;Goulven;"Conseiller régional";Bretagne;Ille-et-Vilaine;"JADOT Yannick";08/02/2022
M.;PERRIN;Nicolas;"Conseiller départemental";;Ille-et-Vilaine;"JADOT Yannick";08/02/2022
Mme;ROGER-MOIGNEU;Caroline;"Conseillère départementale";;Ille-et-Vilaine;"JADOT Yannick";08/02/2022
M.;SALMON;Daniel;Sénateur;;Ille-et-Vilaine;"JADOT Yannick";08/02/2022
M.;GODET;Jérémie;"Conseiller régional";"Centre-Val De Loire";Indre;"JADOT Yannick";08/02/2022
Mme;MOISAN-LEFEBVRE;Anne-Claude;"Conseillère départementale";;Indre;"JADOT Yannick";08/02/2022
M.;LAFOURCADE;François;"Conseiller départemental";;Indre-et-Loire;"JADOT Yannick";08/02/2022
Mme;VOGT;Ursula;"Conseillère départementale";;Indre-et-Loire;"JADOT Yannick";08/02/2022
Mme;BATARAY;Zerrin;"Conseillère régionale";Auvergne-Rhône-Alpes;Isère;"JADOT Yannick";08/02/2022
M.;BUISSON;David;"Conseiller régional";Auvergne-Rhône-Alpes;Isère;"JADOT Yannick";08/02/2022
M.;CUCAROLLO;Jérôme;"Conseiller départemental";;Isère;"JADOT Yannick";08/02/2022
M.;GONTARD;Guillaume;Sénateur;;Isère;"JADOT Yannick";08/02/2022
M.;TROCMÉ;Benjamin;"Conseiller départemental";;Isère;"JADOT Yannick";08/02/2022
